ID,Name,Founded_Year,Country,Studio_Type,Replay_Rate,Years_Active,Maturity_Level
777,Darui,2022,Sweden,Indie,0.605,3,Emerging
778,Data Age,1981,Sweden,Indie,0.527,44,Veteran
779,Data Design Interactive,1999,Sweden,Indie,0.471,26,Established
780,Data East,1980,Sweden,Indie,0.308,45,Veteran
781,Data East Corporation,1976,Finland,Indie,0.713,49,Veteran
782,Data East USA,2000,Sweden,Indie,0.244,25,Established
783,Datamost,2003,United States,Indie,0.396,22,Established
784,Datasoft,1994,Germany,Mid-tier,0.543,31,Veteran
785,Dave Nutting Associates,1974,United Kingdom,Indie,0.76,51,Veteran
786,David A. Palmer Productions,1998,United Kingdom,Indie,0.688,27,Established
787,David OReilly,2012,Canada,Indie,0.607,13,Emerging
788,David Szymanski,2021,Sweden,Indie,0.424,4,Emerging
789,David Wehle,2012,United Kingdom,Indie,0.754,13,Emerging
790,Davidson & Associates,1994,United States,Indie,0.5,31,Veteran
791,Davilex Games,1997,China,Mobile,0.502,28,Established
792,Davilex Software B.V.,1999,United States,Indie,0.665,26,Established
793,Day 1 Studios,2001,United Kingdom,Indie,0.638,24,Established
794,Daybreak Game Company,2014,Canada,Indie,0.668,11,Emerging
795,DeNA,2015,Finland,Indie,0.3,10,Emerging
796,DePaul University students,2006,United States,Indie,0.68,19,Established
797,Dead Idle Games,2014,China,Mobile,0.532,11,Emerging
798,Dead Mage,2014,Canada,Indie,0.491,11,Emerging
799,DeadToast Entertainment,2016,Canada,Indie,0.453,9,Emerging
800,Deadline Games,1998,Finland,Mobile,0.789,27,Established
801,Deadlycrow Games,2017,China,Mobile,0.658,8,Emerging
802,Deck Nine,2013,Finland,Indie,0.353,12,Emerging
803,Deck13 Interactive,2001,Finland,Indie,0.802,24,Established
804,Deconstructeam,2015,Finland,Indie,0.531,10,Emerging
805,Deep Red Games,1998,Japan,Mobile,0.552,27,Established
806,Deep Shadows,2001,Sweden,Indie,0.849,24,Established
807,Deep Silver,2008,Sweden,Indie,0.7,17,Established
808,Deep Silver Dambuster Studios,2013,United States,Indie,0.707,12,Emerging
809,Deep Silver Vienna,1981,United States,AAA,0.703,44,Veteran
810,Deep-Sea Prisoner,2019,United States,Indie,0.785,6,Emerging
811,Def Jam,1996,United States,Indie,0.496,29,Established
812,Defiant Development,2014,United States,Indie,0.506,11,Emerging
813,Dejobaan Games,2002,China,Mobile,0.373,23,Established
814,Delightworks,2001,France,AAA,0.872,24,Established
815,Delphine Software,1987,Sweden,Indie,0.452,38,Veteran
816,Delta 4 Software,1985,United Kingdom,Indie,0.585,40,Veteran
817,Demiurge Studios,2004,Canada,Indie,0.556,21,Established
818,Dennaton Games,2011,Finland,Mobile,0.566,14,Emerging
819,Denton Designs,1982,Finland,Indie,0.512,43,Veteran
820,Design Factory,1993,Japan,Mid-tier,0.537,32,Veteran
821,Destination Games,2005,China,Mobile,0.737,20,Established
822,Destineer,2000,Sweden,Indie,0.619,25,Established
823,Destructive Creations,2013,United States,Indie,0.645,12,Emerging
824,Detalion,1999,United Kingdom,Indie,0.48,26,Established
825,Devespresso Games,2012,Finland,Mobile,0.655,13,Emerging
826,Dharker Studio,2013,Canada,Indie,0.488,12,Emerging
827,Diax Game AB,2017,Finland,Indie,0.487,8,Emerging
828,Die Gute Fabrik,2009,Canada,Indie,0.478,16,Established
829,Digit Game Studios,2015,Canada,Indie,0.784,10,Emerging
830,Digital Anvil,2000,United States,Indie,0.419,25,Established
831,Digital Café,1994,Sweden,Indie,0.604,31,Veteran
832,Digital Crafter,2016,Finland,Indie,0.252,9,Emerging
833,Digital Domain,2013,Canada,Indie,0.662,12,Emerging
834,Digital Eclipse,1992,France,AAA,0.948,33,Veteran
835,Digital Evolution,1995,United States,Indie,0.374,30,Veteran
836,Digital Extremes,1999,Finland,Indie,0.621,26,Established
837,Digital Fiction,2000,Sweden,Indie,0.694,25,Established
838,Digital Fusion,1997,United Kingdom,Indie,0.279,28,Established
839,Digital Happiness,2013,United Kingdom,Indie,0.752,12,Emerging
840,Digital Illusions CE,1995,Sweden,Indie,0.467,30,Veteran
841,Digital Illusions CE: Canada,2000,Canada,Indie,0.532,25,Established
842,Digital Leisure,2012,Finland,Indie,0.827,13,Emerging
843,Digital Leisure Inc.,1989,France,AAA,0.753,36,Veteran
844,Digital Mayhem,2000,United Kingdom,Indie,0.636,25,Established
845,Digital Pictures,1987,Sweden,Indie,0.448,38,Veteran
846,Digital Reality,1999,Finland,Indie,0.653,26,Established
847,Digital Works Entertainment,2008,United States,Indie,0.362,17,Established
848,DigitalDNA Games LLC,2010,China,Mobile,0.699,15,Established
849,Digitalmindsoft,2007,Sweden,Indie,0.779,18,Established
850,DigixArt,2021,Finland,Indie,0.554,4,Emerging
851,Dim Bulb Games,2013,France,Mid-tier,0.806,12,Emerging
852,Dimps,2000,United Kingdom,Indie,0.594,25,Established
853,Dingaling,2013,Canada,Indie,0.798,12,Emerging
854,Direct Action Games,2001,United States,Mobile,0.327,24,Established
855,Discovery Channel Multimedia,1996,Finland,Indie,0.849,29,Established
856,Disney Canada Inc.,2015,United States,Indie,0.312,10,Emerging
857,Disney Interactive,1990,United Kingdom,Indie,0.779,35,Veteran
858,Disney Interactive - US,1994,United Kingdom,Indie,0.54,31,Veteran
859,Disney Interactive Studios,1992,Canada,Indie,0.387,33,Veteran
860,Disney Interactive Victoria,1994,Sweden,Indie,0.354,31,Veteran
861,Disney Online,2005,Finland,Indie,0.486,20,Established
862,Disruptive Games,2016,United States,Indie,0.601,9,Emerging
863,Disruptor Beam,2013,Finland,Indie,0.483,12,Emerging
864,Distinctive Software,1985,Finland,Indie,0.316,40,Veteran
865,Distractionware,2004,United Kingdom,Mid-tier,0.703,21,Established
866,Diversions Entertainment,1992,United States,Indie,0.41,33,Veteran
867,Divine Games,2016,Japan,Mobile,0.65,9,Emerging
868,Djinnworks,2008,United Kingdom,Indie,0.727,17,Established
869,Do My Best Games,2015,Finland,Mobile,0.67,10,Emerging
870,Doborog Games,2014,Japan,Mobile,0.773,11,Emerging
871,DoctorM64,2015,Canada,Indie,0.677,10,Emerging
872,Dodge Roll,2013,United Kingdom,Indie,0.63,12,Emerging
873,Dogwood Gaming,2005,Sweden,Indie,0.473,20,Established
874,DokiDenki Studio,2014,United Kingdom,Indie,0.478,11,Emerging
875,Domini Games,2013,Japan,Mobile,0.566,12,Emerging
876,Dominik Johann,2006,Japan,Mid-tier,0.814,19,Established
877,Dominique Grieshofer,2010,Finland,Indie,0.741,15,Established
878,Donald Brown,1975,Canada,Indie,0.475,50,Veteran
879,Dontnod Eleven,2008,France,Mid-tier,0.664,17,Established
880,Dorling Kindersley,1996,United States,Indie,0.435,29,Established
881,DotEmu,1995,Canada,Indie,0.62,30,Veteran
882,Double Damage Games,2011,Finland,Mobile,0.598,14,Emerging
883,Double Eleven,2008,United States,Indie,0.829,17,Established
884,Double Fine Productions,2003,Finland,Indie,0.464,22,Established
885,Double Helix Games,2007,China,Mobile,0.496,18,Established
886,Double Stallion Games,2011,South Korea,Mobile,0.634,14,Emerging
887,Double Tap,2008,United Kingdom,Indie,0.486,17,Established
888,DoubleDutch Games,2012,China,Mobile,0.409,13,Emerging
889,DoubleMoose Games,2016,Finland,Mobile,0.43,9,Emerging
890,DoubleTap Games,2011,Germany,Mid-tier,0.681,14,Emerging
891,Doublesix,2001,Sweden,Indie,0.493,24,Established
892,Douze Dixièmes,2017,United Kingdom,Indie,0.847,8,Emerging
893,Dovetail Games,2016,Japan,Mobile,0.631,9,Emerging
894,Dragami Games,2022,United States,Mobile,0.57,3,Emerging
895,Drago Entertainment,2016,Finland,Indie,0.457,9,Emerging
896,DragonSnow,2017,United Kingdom,Indie,0.393,8,Emerging
897,Dragonstone Software,1999,United States,Indie,0.526,26,Established
898,Drakhar Studio,2017,Canada,Indie,0.552,8,Emerging
899,DrankiKets,2019,United Kingdom,Indie,0.479,6,Emerging
900,Draw Distance,2016,United Kingdom,Indie,0.603,9,Emerging
901,Draw Me A Pixel,2016,United Kingdom,Indie,0.403,9,Emerging
902,Dreadlocks Ltd.,2014,United States,Indie,0.658,11,Emerging
903,Dream Publishing,1998,United States,Indie,0.7,27,Established
904,DreamCatcher Interactive,1985,Germany,Mid-tier,0.67,40,Veteran
905,DreamFactory,1996,Canada,Indie,0.608,29,Established
906,DreamForge Intertainment,1990,Sweden,Indie,0.465,35,Veteran
907,DreamRift,2006,United States,Indie,0.653,19,Established
908,Dreams Uncorporated,2004,Canada,AAA,0.736,21,Established
909,Dreamworks Interactive,1995,Sweden,Indie,0.448,30,Veteran
910,Drecom Co.,2016,Sweden,Indie,0.772,9,Emerging
911,Drinkbox Studios,2011,United Kingdom,Indie,0.416,14,Emerging
912,Drool,2015,United Kingdom,Indie,0.593,10,Emerging
913,DuCats Games Studio,2017,China,Mobile,0.505,8,Emerging
914,Dual Corporation,1985,United Kingdom,Mid-tier,0.597,40,Veteran
915,Dual Effect,2006,United States,Mobile,0.564,19,Established
916,Duane Blehm,1986,United Kingdom,Indie,0.349,39,Veteran
917,Duoyi (Hong Kong) Interactive Entertainment Limited,2016,Canada,Indie,0.538,9,Emerging
918,Dupuis,1997,United Kingdom,Indie,0.741,28,Established
919,Durell Software,1980,United States,Indie,0.794,45,Veteran
920,Dustin Bragg,2014,United States,Indie,0.493,11,Emerging
921,Dynamix,1990,Sweden,Indie,0.455,35,Veteran
922,D’Avekki Studios,2008,Japan,Mid-tier,0.57,17,Established
923,E-Line Media,2019,United States,Indie,0.498,6,Emerging
924,EA Black Box,1999,United States,Indie,0.369,26,Established
925,EA Bright Light,2000,Germany,Mid-tier,0.839,25,Established
926,EA Canada,1994,United States,Indie,0.441,31,Veteran
927,EA Chicago,2001,Finland,Indie,0.559,24,Established
928,EA Digital Illusions CE,2004,Japan,Mid-tier,0.812,21,Established
929,EA Los Angeles,2000,Japan,Mid-tier,0.61,25,Established
930,EA Manchester,1992,Canada,Indie,0.627,33,Veteran
931,EA Mobile,2013,Finland,Mobile,0.565,12,Emerging
932,EA Montreal,2003,United States,Indie,0.6,22,Established
933,EA Orlando,1992,United Kingdom,Indie,0.729,33,Veteran
934,EA Pacific,1999,Sweden,Indie,0.648,26,Established
935,EA Phenomic,2006,United Kingdom,Indie,0.587,19,Established
936,EA Redwood Shores,1993,United Kingdom,Indie,0.643,32,Veteran
937,EA Romania,1979,Japan,AAA,0.88,46,Veteran
938,EA Salt Lake,2004,Canada,Indie,0.511,21,Established
939,EA Seattle,1995,Canada,Indie,0.761,30,Veteran
940,EA Singapore,1971,Japan,AAA,0.853,54,Veteran
941,EA Sports,1994,Finland,Indie,0.354,31,Veteran
942,EA UK,2006,United States,Indie,0.373,19,Established
943,EA Vancouver,2015,United Kingdom,Indie,0.799,10,Emerging
944,EAI Interactive,1984,Japan,AAA,0.865,41,Veteran
945,EKO Software,2012,Canada,Indie,0.589,13,Emerging
946,ELF Corporation,1990,United Kingdom,Indie,0.725,35,Veteran
947,EMIKA_GAMES,2020,Japan,Mobile,0.605,5,Emerging
948,EPCConnect,1988,Japan,Mid-tier,0.614,37,Veteran
949,EPOS Game Studios,2015,Sweden,Indie,0.449,10,Emerging
950,ESQUADRA,1995,Sweden,Indie,0.504,30,Veteran
951,ESTsoft,2004,Finland,Indie,0.766,21,Established
952,Earthlight Productions,1997,United Kingdom,Indie,0.346,28,Established
953,Eastshade Studios,2017,United Kingdom,Indie,0.652,8,Emerging
954,Easy Studios,2004,Germany,Mid-tier,0.722,21,Established
955,Easy Trigger Games,2019,South Korea,Mobile,0.541,6,Emerging
956,EasyGameStation,2002,United States,Mobile,0.531,23,Established
957,Eat Sleep Play Inc.,1996,Germany,Mid-tier,0.582,29,Established
958,Echodog Games,2015,China,Mobile,0.53,10,Emerging
959,Echtra Games,2018,South Korea,Mobile,0.657,7,Emerging
960,Eclipse Productions,1994,Finland,Indie,0.712,31,Veteran
961,Eclipse Software,1989,Sweden,Indie,0.544,36,Veteran
962,Ecole Software,2004,Japan,AAA,0.879,21,Established
963,Ecseco,1994,United Kingdom,Mid-tier,0.8,31,Veteran
964,Ed Key and David Kanaga,2008,Sweden,Indie,0.472,17,Established
965,Edelweiss,2010,United States,Indie,0.614,15,Established
966,Eden Entertainment Software,2008,United Kingdom,AAA,0.71,17,Established
967,Eden Games,1997,South Korea,Mobile,0.772,28,Established
968,Eden Industries,2013,United States,Indie,0.609,12,Emerging
969,Eden Studios,2002,Sweden,Indie,0.635,23,Established
970,Edge Case Games Ltd.,2014,South Korea,Mobile,0.581,11,Emerging
971,Edge of Reality,1996,United States,Indie,0.758,29,Established
972,Edmund McMillen,1995,United States,Indie,0.766,30,Veteran
973,Educated Child Games,2017,South Korea,Mobile,0.508,8,Emerging
974,Efecto Studios,2012,Canada,Indie,0.758,13,Emerging
975,Eggcode,2013,United Kingdom,Indie,0.444,12,Emerging
976,Eggtooth,2017,China,Mobile,0.581,8,Emerging
977,Egosoft,1994,United Kingdom,Indie,0.501,31,Veteran
978,Eidetic,1995,Sweden,Indie,0.549,30,Veteran
979,Eidos Hungary,2006,China,Mobile,0.563,19,Established
980,Eidos Interactive,2010,Japan,Mid-tier,0.571,15,Established
981,Eidos Montréal,2010,Sweden,Indie,0.473,15,Established
982,Eighting,2001,Canada,Indie,0.79,24,Established
983,Elastic,2007,Sweden,Indie,0.539,18,Established
984,Elder Games,2017,South Korea,Mobile,0.801,8,Emerging
985,Elecbyte,1998,Finland,Indie,0.52,27,Established
986,Electric Dreams Inc.,1993,Finland,Indie,0.269,32,Veteran
987,Electric Eggplant,2012,United Kingdom,Indie,0.491,13,Emerging
988,Electric Square,2015,Japan,Indie,0.602,10,Emerging
989,Electrified Games,2007,Canada,Indie,0.555,18,Established
990,Electronic Arts,1982,United States,AAA,0.813,43,Veteran
991,Elite Systems,1980,United Kingdom,Indie,0.651,45,Veteran
992,Elixir Studios,1998,United States,Indie,0.871,27,Established
993,Ellada Games,2016,Japan,Mobile,0.559,9,Emerging
994,Ellipse Studios,1997,Canada,Indie,0.58,28,Established
995,Elsinore Multimedia,1996,United States,Indie,0.41,29,Established
996,Ember Lab,2016,Canada,Indie,0.813,9,Emerging
997,Emil Macko,2014,United States,Indie,0.709,11,Emerging
998,Empire Interactive,2002,Sweden,Indie,0.58,23,Established
999,Empty Clip Studios,2013,Canada,Indie,0.64,12,Emerging
1000,Endflame,2020,Canada,Indie,0.472,5,Emerging
1001,Engine Software,2016,Sweden,Indie,0.6,9,Emerging
1002,Engineering Animation Inc.,1995,Sweden,Indie,0.735,30,Veteran
1003,Enhance,2007,United States,Indie,0.657,18,Established
1004,Enigami,2013,Canada,Indie,0.478,12,Emerging
1005,Enigma Variations,1993,Germany,Mid-tier,0.808,32,Veteran
1006,EnjoyUp Games,2015,South Korea,Mobile,0.623,10,Emerging
1007,Enlight Software Limited,2001,Sweden,Indie,0.442,24,Established
1008,Ensemble Studios,1995,United States,Indie,0.384,30,Veteran
1009,Enterbrain,1998,Sweden,Indie,0.521,27,Established
1010,Entwell Co. Ltd,2005,United States,Indie,0.82,20,Established
1011,Epic Games,1991,United States,AAA,0.844,34,Veteran
1012,Epic Llama Games,2013,United States,Mobile,0.71,12,Emerging
1013,Epic MegaGames,1997,China,Mobile,0.471,28,Established
1014,Epicenter Studios,2004,Sweden,Indie,0.435,21,Established
1015,Epoch,1994,United Kingdom,Indie,0.703,31,Veteran
1016,Epyx,1980,Canada,Indie,0.643,45,Veteran
1017,Equilibrium,1990,Sweden,Indie,0.738,35,Veteran
1018,Equinoxe,2003,Sweden,Indie,0.615,22,Established
1019,Escape,1983,Finland,Indie,0.62,42,Veteran
1020,Ethosaur,2015,United Kingdom,Indie,0.452,10,Emerging
1021,Eugen Systems,2003,United Kingdom,Indie,0.68,22,Established
1022,Eukaryot,2016,United States,Indie,0.856,9,Emerging
1023,Eurocom Developments,1989,Canada,Indie,0.358,36,Veteran
1024,Eurocom Entertainment Software,1995,United Kingdom,Mid-tier,0.582,30,Veteran
1025,Eutechnyx,1998,United States,Indie,0.661,27,Established
1026,Event Horizon,2013,United Kingdom,Indie,0.538,12,Emerging
1027,Everbloom Games,2017,Japan,Mobile,0.743,8,Emerging
1028,Everbyte,2016,Canada,Indie,0.415,9,Emerging
1029,Everything Unlimited Ltd.,2013,Sweden,Indie,0.534,12,Emerging
1030,Evil Empire,2006,Japan,Mid-tier,0.628,19,Established
1031,Evolution Studios,1999,United States,Indie,0.452,26,Established
1032,Evryware,1984,Finland,Indie,0.445,41,Veteran
1033,Exact,1992,Sweden,Indie,0.611,33,Veteran
1034,Exact Entertainment,1991,Canada,AAA,0.77,34,Veteran
1035,Exakt Entertainment,1979,United Kingdom,AAA,0.76,46,Veteran
1036,Examu,2003,Canada,Indie,0.364,22,Established
1037,Exbleative,2017,Finland,Indie,0.342,8,Emerging
1038,Exia Labs,2022,United States,Indie,0.374,3,Emerging
1039,Exidy,1973,United Kingdom,Indie,0.39,52,Veteran
1040,Exient Entertainment,1998,Finland,Indie,0.736,27,Established
1041,Exodragon,2013,Sweden,Indie,0.756,12,Emerging
1042,Exor Studios,2005,Finland,Indie,0.693,20,Established
1043,Exordium Games,2016,Finland,Mobile,0.53,9,Emerging
1044,Expansive Worlds,2015,United States,Indie,0.728,10,Emerging
1045,Experience Inc.,2016,Finland,Indie,0.625,9,Emerging
1046,Experiment 101,2018,United States,Indie,0.418,7,Emerging
1047,Exploding Barrel Games,2012,Finland,Mobile,0.625,13,Emerging
1048,Explosive Barrel,2006,United States,Indie,0.836,19,Established
1049,Explosm,2018,Canada,Indie,0.377,7,Emerging
1050,Extended Play Productions,1989,United Kingdom,Indie,0.427,36,Veteran
1051,Extra Mile Studios,2003,United Kingdom,Indie,0.567,22,Established
1052,ExtraToxic,2007,Sweden,Indie,0.497,18,Established
1053,Extremely OK Games,2016,Finland,Mobile,0.762,9,Emerging
1054,FASA Interactive,1999,United States,Indie,0.734,26,Established
1055,FASA Studio,1996,United Kingdom,Indie,0.362,29,Established
1056,FDG Entertainment,2012,Finland,Indie,0.358,13,Emerging
1057,FF Digital,2018,Sweden,Indie,0.627,7,Emerging
1058,FTL Games,1989,China,Mobile,0.539,36,Veteran
1059,FUN Labs,1996,Canada,Indie,0.547,29,Established
1060,FYQD-Studio,2018,Sweden,Indie,0.331,7,Emerging
1061,Fabio Ferrara,2015,United States,Indie,0.528,10,Emerging
1062,Facepalm Games,1988,France,Mid-tier,0.678,37,Veteran
1063,Facepunch Studios,2000,Finland,Indie,0.554,25,Established
1064,Faceroll Games,2013,Finland,Mobile,0.716,12,Emerging
1065,Factor 5,1987,Canada,Indie,0.407,38,Veteran
1066,Faerin Games,2014,South Korea,Mobile,0.757,11,Emerging
1067,Fair Games Studio,2017,China,Mobile,0.45,8,Emerging
1068,Fair Play Labs,2017,Finland,Indie,0.625,8,Emerging
1069,FairyTale,1993,Sweden,Indie,0.838,32,Veteran
1070,Falcon,1977,Canada,Indie,0.649,48,Veteran
1071,Fallen Tree Games,2015,Japan,Mobile,0.715,10,Emerging
1072,Fancy Force,2007,United States,Indie,0.474,18,Established
1073,Fanfare,1994,United Kingdom,Indie,0.424,31,Veteran
1074,FarSight Studios,1990,United Kingdom,Indie,0.357,35,Veteran
1075,Fatshark,2006,Canada,Indie,0.436,19,Established
1076,Feelplus,2005,United States,Indie,0.593,20,Established
1077,FeliciaVal,2009,United States,Indie,0.584,16,Established
1078,Feperd Games,2018,China,Mobile,0.629,7,Emerging
1079,Feral Cat Den,2017,Canada,Indie,0.645,8,Emerging
1080,Feral Interactive,2010,Japan,Mid-tier,0.564,15,Established
1081,Fever Pitch Studios,1999,United Kingdom,Indie,0.487,26,Established
1082,Fictiorama Studios,2013,Canada,Indie,0.702,12,Emerging
1083,Filip Oščádal,2009,United Kingdom,Indie,0.736,16,Established
1084,Final Fantasy Hacktics,2015,Sweden,Indie,0.892,10,Emerging
1085,Final Form Games,2009,United States,Mobile,0.458,16,Established
1086,Final Strike Games,2017,China,Mobile,0.613,8,Emerging
1087,Fineway Studios,2012,United States,Indie,0.468,13,Emerging
1088,Fingersoft,2007,Canada,Indie,0.532,18,Established
1089,Finji,2014,Sweden,Indie,0.774,11,Emerging
1090,FiolaSoft Studio,2014,Canada,Indie,0.741,11,Emerging
1091,Firaxis Games,1995,Japan,Mobile,0.595,30,Veteran
1092,Fire Hose Games,1996,United Kingdom,Mid-tier,0.514,29,Established
1093,Firebrand Games,2006,United States,Mobile,0.495,19,Established
1094,Firefly Studios,1997,Canada,Indie,0.79,28,Established
1095,Fireglow Games,1997,Japan,Mobile,0.588,28,Established
1096,Firehazard Studio,2007,Sweden,Indie,0.354,18,Established
1097,Firemint,1997,United Kingdom,Indie,0.692,28,Established
1098,Firemonkeys Studios,2012,United Kingdom,Indie,0.44,13,Emerging
1099,Fireproof Games,2008,Japan,Mobile,0.822,17,Established
1100,Firesprite Ltd,2011,Canada,Indie,0.787,14,Emerging
1101,First Contact Entertainment,2017,Finland,Indie,0.801,8,Emerging
1102,First Star Software,1980,Canada,Indie,0.431,45,Veteran
1103,First Touch Games,2014,Finland,Mobile,0.666,11,Emerging
1104,Fishlabs,2012,Finland,Indie,0.368,13,Emerging
1105,Fistful of Frags Team,2004,Finland,Indie,0.411,21,Established
1106,Flagship Studios,2004,United States,Indie,0.832,21,Established
1107,Flaming Fowl Studios,2004,United Kingdom,Indie,0.348,21,Established
1108,Flashbulb Games,1998,Sweden,Indie,0.652,27,Established
1109,FlavourWorks,2014,Finland,Indie,0.411,11,Emerging
1110,Flight School Studio,2016,United Kingdom,Indie,0.607,9,Emerging
1111,Flipline Studios,2002,Sweden,Indie,0.786,23,Established
1112,Floodgate Entertainment,2013,Japan,Mid-tier,0.832,12,Emerging
1113,Floodlight Games,2006,Finland,Mobile,0.486,19,Established
1114,Florian Himsl,2006,United Kingdom,Indie,0.408,19,Established
1115,Fluent Entertainment,2003,Canada,Indie,0.375,22,Established
1116,Fluid Entertainment,1996,Finland,Indie,0.499,29,Established
1117,Fluid Studios,1997,United States,Indie,0.656,28,Established
1118,Flux Games,2017,China,Mobile,0.767,8,Emerging
1119,Flying Bear Entertainment,2002,Canada,Indie,0.83,23,Established
1120,Flying Wild Hog,2011,Canada,Indie,0.591,14,Emerging
1121,FlyingCoin,2001,United Kingdom,Indie,0.684,24,Established
1122,FoamPunch,2020,Canada,Indie,0.626,5,Emerging
1123,Focus Creative Enterprises Ltd.,2002,Japan,AAA,0.777,23,Established
1124,Focus Entertainment,2002,Finland,Indie,0.692,23,Established
1125,Foley Hi-Tech Systems,1990,United Kingdom,Indie,0.465,35,Veteran
1126,ForgeVision,1974,United Kingdom,Legacy,0.851,51,Veteran
1127,Forgotten Empires LLC,1989,Japan,Mid-tier,0.67,36,Veteran
1128,Forgotten Key,1993,United States,Mid-tier,0.774,32,Veteran
1129,Forsaken Studios,2020,United Kingdom,Indie,0.522,5,Emerging
1130,Four Leaf Studios,2021,United States,Indie,0.668,4,Emerging
1131,Four Quarters,2012,Canada,Indie,0.695,13,Emerging
1132,Fourattic,2016,Sweden,Indie,0.699,9,Emerging
1133,Fox Digital Entertainment,1987,Germany,Mid-tier,0.689,38,Veteran
1134,Fox Video Games,2003,Sweden,Indie,0.661,22,Established
1135,Fox Williams,1986,France,Mid-tier,0.698,39,Veteran
1136,FoxNext Games,2015,Japan,Mobile,0.643,10,Emerging
1137,Frame Studios,2000,Finland,Indie,0.25,25,Established
1138,Francisco Téllez de Meneses,2001,United States,Indie,0.381,24,Established
1139,FreakZone Games,2013,China,Mobile,0.646,12,Emerging
1140,Free Fall Associates,1982,United Kingdom,Indie,0.784,43,Veteran
1141,Free Lives Games,2011,Finland,Mobile,0.643,14,Emerging
1142,Free Radical Design,2001,United States,Indie,0.437,24,Established
1143,FreeStyleGames,2004,South Korea,Mobile,0.73,21,Established
1144,Freebird Games,2009,China,Mobile,0.461,16,Established
1145,Freedom Factory,2010,United Kingdom,Indie,0.757,15,Established
1146,Freeverse Software,1997,Finland,Indie,0.59,28,Established
1147,French Bread,2009,United States,Indie,0.442,16,Established
1148,Frictional Games,2005,United States,Mobile,0.586,20,Established
1149,Frima Studio,2007,United States,Indie,0.294,18,Established
1150,Frogmind,2008,Finland,Indie,0.566,17,Established
1151,Frogwares,1999,United States,Indie,0.406,26,Established
1152,FromSoftware,1995,France,Mid-tier,0.663,30,Veteran
1153,Frontier Developments,1988,Sweden,Indie,0.56,37,Veteran
1154,Frostburn Studios,2018,United Kingdom,Indie,0.397,7,Emerging
1155,Frozen Codebase,1990,United States,Mid-tier,0.609,35,Veteran
1156,Frozen North Productions,2005,Finland,Indie,0.598,20,Established
1157,Frozenbyte,2003,United Kingdom,Indie,0.37,22,Established
1158,FuRyu,2015,Canada,Indie,0.72,10,Emerging
1159,Fuelcell Games,2002,Finland,Indie,0.697,23,Established
1160,Full Fat,1997,United States,Indie,0.783,28,Established
1161,Full Fat Productions,1999,United Kingdom,Indie,0.779,26,Established
1162,Fullbright,2009,United States,Indie,0.666,16,Established
1163,Fun Bits Interactive,2008,Sweden,Indie,0.592,17,Established
1164,Funatics Development,2001,Sweden,Indie,0.807,24,Established
1165,Funcell Games,2018,South Korea,Mobile,0.469,7,Emerging
1166,Funcom,1993,United States,Indie,0.47,32,Veteran
1167,Funcom Dublin Ltd.,1996,Canada,Indie,0.65,29,Established
1168,Funnybone Interactive,1996,United States,Indie,0.56,29,Established
1169,Funomena,2018,Finland,Indie,0.453,7,Emerging
1170,Funsolve,2018,Canada,Indie,0.503,7,Emerging
1171,Fupac,1999,France,Mid-tier,0.75,26,Established
1172,Furious Bee Limited,1999,United Kingdom,Mid-tier,0.628,26,Established
1173,Fuse Games,2001,Japan,Mobile,0.634,24,Established
1174,Fusebox Games,2020,United States,Mobile,0.63,5,Emerging
1175,Fusionsphere Systems,2013,Finland,Indie,0.577,12,Emerging
1176,FuturLab,2011,Finland,Indie,0.588,14,Emerging
1177,Future Cat,2013,Canada,Indie,0.567,12,Emerging
1178,Future Games,1998,Finland,Mobile,0.631,27,Established
1179,Future Games of London,2008,South Korea,Mobile,0.488,17,Established
1180,Future Tech Lab Co.,1987,United States,Mid-tier,0.652,38,Veteran
1181,Fuzzyren Works,2005,Sweden,Indie,0.737,20,Established
1182,G-Artists,1994,Sweden,Indie,0.597,31,Veteran
1183,G-Craft,1992,Finland,Indie,0.746,33,Veteran
1184,G-artists,1994,United Kingdom,Indie,0.313,31,Veteran
1185,G.rev,2001,United Kingdom,Indie,0.496,24,Established
1186,GCE,1981,Canada,Indie,0.47,44,Veteran
1187,GIBBING TREE,2020,Finland,Indie,0.651,5,Emerging
1188,GRIN,1998,Canada,Indie,0.671,27,Established
1189,GSC Game World,1996,Canada,Indie,0.733,29,Established
1190,GT Interactive Software,1994,United Kingdom,Indie,0.773,31,Veteran
1191,GTE Entertainment,1991,United Kingdom,Indie,0.459,34,Veteran
1192,GUTS Department,2014,United States,Indie,0.755,11,Emerging
1193,Gabe Cuzzillo,2017,Sweden,Indie,0.803,8,Emerging
1194,Gaelco,1991,Canada,Indie,0.438,34,Veteran
1195,Gagne International,1997,United Kingdom,Indie,0.798,28,Established
1196,Gaijin Entertainment,2006,United Kingdom,Indie,0.474,19,Established
1197,Gaijin Games,2009,Finland,Mobile,0.755,16,Established
1198,Gainax,2006,Sweden,Indie,0.589,19,Established
1199,Gakken,1978,Sweden,Indie,0.622,47,Veteran
1200,Galactic Cafe,2012,Sweden,Indie,0.664,13,Emerging
1201,Galapagos RPG,2014,United Kingdom,Indie,0.723,11,Emerging
1202,Galaxy Grove,2022,United States,Indie,0.654,3,Emerging
1203,GalaxyTrail,2011,Canada,Indie,0.569,14,Emerging
1204,Game Arts,1983,Finland,Indie,0.55,42,Veteran
